"","Dept1","Title","Description","Dept2","Dept3","Dept4","Dept5","Dept6","Dept7","Dept8","Dept9","Dept10","Keywords"
"201","CENG412L","Chemical Engineering Laboratory and Design","<p>An introduction to design as practiced by chemical and environmental engineers. Engineering fundamentals, laboratory experiments, and design principles are applied toward a contemporary chemical process challenge. Sustainability and economic considerations are emphasized.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"design practiced environmental engineers engineering fundamentals experiments applied contemporary economic considerations emphasized"
"202","CENG416","Chemical Engineering Process Design","<p>Study of the techniques for and the design of chemical processes and plants, applying the principles of chemical engineering and economics. Emphasis on flowsheet development and equipment selection, cost estimation and economic analysis, design strategy and optimization, safety and hazards analysis, and environmental and ethical considerations.</p>","ENVE416",NA,NA,NA,NA,NA,NA,NA,NA,"techniques design processes plants applying engineering economics emphasis flowsheet equipment cost estimation economic optimization safety hazards environmental considerations"
"203","CENG120","Introduction to Environmental Engineering","<p>Introduction to engineering principles related to the environment, with emphasis on causes of problems and technologies for abatement. Topics include air and water pollution, global climate change, hazardous chemical and emerging environmental technologies.</p>","ENAS120","ENVE120",NA,NA,NA,NA,NA,NA,NA,"engineering related environment emphasis technologies abatement topics pollution climate change hazardous environmental"
"210","CGSC216","Cognitive Science of Language","<p>The study of language from the perspective of cognitive science. Exploration of mental structures that underlie the human ability to learn and process language, drawing on studies of normal and atypical language development and processing, brain imaging, neuropsychology, and computational modeling. Innate linguistic structure vs. determination by experience and culture; the relation between linguistic and nonlinguistic cognition in the domains of decision making, social cognition, and musical cognition; the degree to which language shapes perceptions of color, number, space, and gender.</p>
","LING116",NA,NA,NA,NA,NA,NA,NA,NA,"language cognitive exploration mental structures underlie ability learn atypical processing brain imaging neuropsychology innate linguistic vs culture nonlinguistic cognition domains decision making social musical degree shapes perceptions number"
"211","CGSC426","The Cognitive Science of Morality","Introduction to the emerging field of moral cognition. Focus on questions about the philosophical significance of psychological findings. Topics include the role of emotion in moral judgment; the significance of character traits in virtue ethics and personality psychology; the reliability of intuitions and the psychological processes that underlie them.<BR>
","PSYC422","EP&E490","PHIL426",NA,NA,NA,NA,NA,NA,"moral cognition focus significance psychological topics emotion judgment traits virtue ethics personality psychology reliability intuitions processes underlie"
"212","CGSC425","Social Perception","<p>Connections between visual perception, among the earliest and most basic of human cognitive processes, and social cognition, among the most advanced forms of higher-level cognition. The perception of animacy, agency, and goal-directedness; biological motion; face perception (including the perception of facial attractiveness); gaze processing and social attention; ""thin-slicing"" and ""perceptual stereotypes""; and social and cultural influences on perception.</p>
","PSYC625","PSYC425",NA,NA,NA,NA,NA,NA,NA,"perception cognitive processes social cognition higherlevel animacy agency goaldirectedness biological face including facial attractiveness gaze processing thinslicing perceptual stereotypes cultural influences"
"213","CGSC371","Laboratory in Animal Cognition","<p>An introduction to current issues, laboratory techniques, and&#160; methods in animal cognition. Students help develop and pilot research projects on canine cognition. Topics include number, theory of mind, and causality.</p>","PSYC371",NA,NA,NA,NA,NA,NA,NA,NA,"techniques methods animal cognition students develop pilot projects canine topics number causality "
"214","CHEM101","Chemistry in the Modern World","<p>Basic concepts necessary to understand how chemistry affects life in the modern world. Laws, events, and other ways that chemistry shapes human lives.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"concepts necessary understand chemistry affects life modern world laws events shapes lives"
"215","CHEM102","Introduction to Green Chemistry","<p>Overview of the basic concepts and methods needed to design processes and synthesize materials in an environmentally benign way. Related issues of global sustainability. Case studies that suggest possible solutions for the serious environmental and toxicological issues currently facing industry and society.</p>
","ENVE202","EVST102",NA,NA,NA,NA,NA,NA,NA,"concepts methods needed design processes synthesize materials environmentally benign related suggest solutions serious environmental toxicological currently society"
"216","CHEM134L","General Chemistry Laboratory I","<p>An introduction to basic chemistry laboratory methods. Techniques required for quantitative analysis of thermodynamic processes and the properties of gases.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"chemistry methods techniques quantitative thermodynamic processes gases"
"217","CHEM136L","General Chemistry Laboratory II","<p>Introduction to rate and equilibrium measurements, acid-base chemistry, synthesis of inorganic compounds, and qualitative/quantitative analysis.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"rate equilibrium measurements acidbase chemistry inorganic compounds qualitativequantitative"
"218","CHEM165","General Chemistry II","<p>Topics include kinetics, chemical equilibrium, acid-base chemistry, free energy and entropy, electrochemistry, and nuclear chemistry.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"topics kinetics equilibrium acidbase chemistry free electrochemistry nuclear"
"219","CHEM167","Comprehensive University Chemistry II","<p>Topics include kinetics, chemical equilibrium, acid-base chemistry, free energy and entropy, electrochemistry, and nuclear chemistry.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"topics kinetics equilibrium acidbase chemistry free electrochemistry nuclear"
"220","CHEM175","Freshman Organic Chemistry II","<p>Continuation of CHEM 174. Survey of simple and complex reaction mechanisms, spectroscopy, organic synthesis, and the molecules of nature.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"chem 174 complex reaction mechanisms spectroscopy organic molecules"
"221","CHEM220","Organic Chemistry","<p>An introductory course covering the fundamental principles of organic chemistry. The laboratory for this course is CHEM 222L.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"introductory course covering organic chemistry chem 222l"
"222","CHEM221","The Organic Chemistry of Life Processes","<p>The principles of organic reactivity and how they form the basis for biological processes. The laboratory for this course is CHEM 223L.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"organic reactivity biological processes course chem 223l"
"223","CHEM222L","Laboratory for Organic Chemistry I","<p>First term of an introductory laboratory sequence covering basic synthetic and analytic techniques in organic chemistry.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"first term introductory sequence covering synthetic analytic techniques organic chemistry"
"224","CHEM223L","Laboratory for Organic Chemistry II","<p>Second term of an introductory laboratory sequence covering basic synthetic and analytic techniques in organic chemistry.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"term introductory sequence covering synthetic analytic techniques organic chemistry"
"225","CHEM226L","Intensive Advanced Chemistry Laboratory","<p>An intensive course in advanced chemistry laboratory technique intended to bring the student closer to independent research. Included are an independent laboratory project and presentation, introduction to library research, and training in the use of various analytical techniques.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"course chemistry technique intended bring student closer independent presentation use analytical techniques"
"226","CHEM251L","Inorganic Chemistry Laboratory","<p>Introductory laboratory course covering synthetic and physical characterization techniques in inorganic chemistry.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"introductory course covering synthetic physical techniques inorganic chemistry"
"227","CHEM252","Introductory Inorganic Chemistry","<p>Principles and applications of modern inorganic chemistry. Introduction to some of the fundamental concepts of solid-state chemistry, coordination chemistry, bioinorganic chemistry, and organometallic chemistry.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"applications modern inorganic chemistry concepts solidstate coordination bioinorganic organometallic"
"228","CHEM333","Physical Chemistry with Applications in the Physical Sciences II","<p>Continuation of CHEM 332, including topics drawn from quantum mechanics, atomic/molecular structure, spectroscopy, and statistical thermodynamics.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"chem 332 including topics quantum mechanics atomicmolecular spectroscopy statistical thermodynamics"
"229","CHEM335L","Materials and Biophysical Chemistry Laboratory","<p>A laboratory course covering physical methods and chemical synthesis in materials and biophysical chemistry. Techniques include solution phase synthesis, solid state synthesis, UV-Vis, fluorescence, optical microscopy, SEM, STM, single molecule fluorescence, and optical trapping methods.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"course covering physical methods materials biophysical chemistry techniques phase solid state uvvis fluorescence optical microscopy sem stm molecule trapping"
"230","CHEM425","Spectroscopic Methods of Structure Determination","<p>Applications of NMR, ESR, infrared, UV, visible, and mass spectroscopy to chemical problems concerning structures and reactions. X-ray crystallography. Computer simulation of NMR spectra.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"applications nmr esr infrared uv visible spectroscopy concerning structures xray crystallography computer simulation spectra"
"231","CHEM442","Molecules and Radiation II","<p>An extension of the material covered in CHEM 440 to atomic and molecular spectroscopy, including rotational, vibrational, and electronic spectroscopy, as well as an introduction to laser spectroscopy.</p>
","CHEM542",NA,NA,NA,NA,NA,NA,NA,NA,"material chem 440 molecular spectroscopy including rotational vibrational electronic well laser"
"232","CHEM457","Modern Coordination Chemistry","<p>The principles of modern inorganic chemistry. Main group and transition element chemistry: reactions, bonding, structure, and spectra.</p>
","CHEM557",NA,NA,NA,NA,NA,NA,NA,NA,"modern inorganic chemistry transition element bonding spectra"
"233","CHEM470","Quantum Chemistry","<p>The elements of quantum mechanics developed and illustrated with applications in chemistry and chemical physics.</p>
","CHEM570",NA,NA,NA,NA,NA,NA,NA,NA,"quantum mechanics developed applications chemistry physics"
"236","CHEM430","Statistical Mechanics and Thermodynamics","<p>The fundamentals of statistical mechanics developed and used to elucidate gas phase and condensed phase behavior, as well as to establish a microscopic derivation of the postulates of thermodynamics. Topics include ensembles; Fermi, Bose, and Boltzmann statistics; density matrices; mean field theories; phase transitions; chemical reaction dynamics; time-correlation functions; and Monte Carlo and molecular dynamics simulations.</p>
","CHEM530",NA,NA,NA,NA,NA,NA,NA,NA,"fundamentals statistical mechanics developed used elucidate gas phase condensed behavior well establish microscopic derivation postulates thermodynamics topics ensembles fermi bose boltzmann statistics density matrices mean transitions reaction timecorrelation monte carlo molecular simulations"
"237","CHNS120","Elementary Modern Chinese II","<p>Continuation of CHNS 110.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"110"
"238","CHNS130","Intermediate Modern Chinese I","<p>An intermediate course that continues intensive training in listening, speaking, reading, and writing and consolidates achievements from the first year of study. Students improve oral fluency, study more complex grammatical structures, and enlarge both reading and writing vocabulary.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"intermediate course continues writing consolidates achievements first year students oral fluency complex structures enlarge vocabulary"
"240","CHNS142","Elementary Modern Chinese for Advanced Learners II","<p>Continuation of CHNS 132.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"241","CHNS151","Advanced Modern Chinese II","<p>Continuation of CHNS 150.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"150"
"242","CHNS153","Intermediate Modern Chinese for Advanced Learners","<p>The second level of the advanced learner sequence. Intended for students with intermediate to advanced oral proficiency and high elementary reading and writing proficiency. Students receive intensive training in listening, speaking, reading, and writing, supplemented by audio and video materials. The objective of the course is to balance these four skills and work toward attaining an advanced level in all of them.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"level learner sequence intended students intermediate oral high elementary writing audio video materials objective course balance work attaining"
"243","CHNS155","Advanced Modern Chinese IV","<p>Continuation of CHNS 154.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"154"
"244","CHNS163","Advanced Modern Chinese for Advanced Learners","<p>Third level of the advanced learner sequence in Chinese. Intended for students with advanced speaking and listening skills (able to conduct conversations fluently) and with high intermediate reading and writing skills (able to write 1,000–1,200 characters). Further readings on contemporary life in China and Taiwan, supplemented with authentic video materials. Class discussion, presentations, and regular written assignments. Texts in simplified characters with vocabulary in both simplified and traditional characters.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"third level learner sequence intended students able conduct conversations fluently high intermediate writing write 10001200 characters contemporary life taiwan authentic video materials class discussion presentations regular assignments texts simplified vocabulary traditional"
"245","CHNS165","Readings in  Modern Chinese Fiction","<p>Reading and discussion of modern short stories, most written prior to 1949. Development of advanced language skills in reading, speaking, and writing for students with an interest in literature and literary criticism.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"discussion modern stories 1949 language writing students interest literary"
"246","CHNS167","Chinese Media and Society","<p>Advanced language course with a focus on speaking and writing skills. Issues in contemporary Chinese society explored through media forms such as newspapers, radio, television, and Internet blogs.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"language course focus writing contemporary society explored newspapers radio internet blogs"
"247","CHNS169","Chinese for Global Enterprises","<p>Advanced language course with a focus on Chinese business terminology and discourse. Discussion of China's&#160;economic and management reforms, marketing, economic laws, business culture and customs, and economic relations with other countries.&#160;Case studies from international enterprises that have successfully entered the Chinese market.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"language course focus business terminology discourse discussion reforms marketing economic laws culture customs relations international enterprises successfully entered market chinas countries"
"248","CHNS171","Introduction to Literary Chinese II","<p>Continuation of CHNS 170.</p>
","CHNS571",NA,NA,NA,NA,NA,NA,NA,NA,"170"
"249","CLCV042","Magic, Witchcraft, and Mystery Cults in Classical Antiquity","<p>Exploration of evidence for magic, witchcraft, and the occult in Greco-Roman antiquity. Topics include theoretical approaches to magic, magical objects (curse tablets, voodoo dolls, and amulets), practitioners of magic (witches and sorcerers), magical spells, and charms.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"exploration magic witchcraft occult grecoroman topics theoretical objects curse tablets voodoo dolls amulets practitioners witches sorcerers spells charms"
"250","CLCV212","Ancient Greek and Roman Novels in Context","<p>A thorough examination of ancient novels as ancestors to the modern novel. Focus on seven surviving Greek and Roman novels, with particular emphasis on questions of interpretation, literary criticism, and literary theory, as well as cultural issues raised by the novels, including questions of gender and sexuality, ethnicity, cultural identity, religion, and intellectual culture of the first centuries A.D.</p>","HUMS145",NA,NA,NA,NA,NA,NA,NA,NA,"thorough novels ancestors modern focus seven surviving greek particular emphasis literary well cultural raised including sexuality ethnicity identity culture first centuries ad"
"251","CLCV236","Roman Law","<p>Basic principles of Roman law and their applications to the social and economic history of antiquity and to the broader history of international law. Topics include the history of persons and things, inheritance, crime and tort, and legal procedure. Questions of social and economic history and the history of jurisprudence from the fifth century B.C.E. to the present.</p>","HIST225",NA,NA,NA,NA,NA,NA,NA,NA,"applications social economic broader international topics persons things inheritance crime tort legal procedure jurisprudence fifth bce present"
"252","CLCV257","Cultural Introduction to the Romans","<p>An introduction to ancient Roman culture. Focus on the ideals of elite identity and on the lives that were lived on the margins of those ideals, by slaves, prostitutes, freedmen, gladiators, foreigners, and the urban poor. Rome both as a city of grandeur and pageantry and as a place of unthinkable cruelty and injustice.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"culture focus ideals elite identity lives lived margins slaves prostitutes freedmen gladiators foreigners urban grandeur pageantry place unthinkable cruelty injustice"
"255","CLCV261","Plato","<p>Focus on the central philosophical themes in the work of Plato and on methodology for studying Plato.</p>","PHIL200",NA,NA,NA,NA,NA,NA,NA,NA,"focus central themes work plato methodology studying"
"256","CLCV409","Plato's Philebus","<p>Discussion of Plato’s <em>Philebus</em> (in translation), the late work in which he examines the competing claims of pleasure and reason to be the basis of human happiness and in which he provides a portrait of the best human life.</p>","PHIL609","CLSS609","PHIL409",NA,NA,NA,NA,NA,NA,"discussion platos  late work examines competing pleasure reason happiness portrait life"
"257","CLCV245","Writing the Past from Homer to Christianity","<p>Exploration of Greek and Roman constructions and representations of the past from the earliest works of classical literature through the rise of Christianity. Topics include: science and history as objects of inquiry; geography, ethnography, and writing about ""the Other;"" the role of myth and fiction; orality and social memory; monuments and texts; autobiography and self-representation; propaganda and politics; chronology and chronography; teleology, prophesy, and Christian histories.&#160;</p>","HIST207",NA,NA,NA,NA,NA,NA,NA,NA,"exploration greek constructions representations works christianity topics objects inquiry geography ethnography writing myth fiction orality social memory monuments texts autobiography selfrepresentation politics chronology chronography teleology prophesy christian histories "
"258","CLCV134","Ancient Greek Medicine and Healing","<p>An introduction to Greek medicine and healing practices from the fifth century BCE to the second century CE, with attention to central concepts, methods, and theories. The relation of scientific theories to clinical practice, magic, temple medicine, and Greek philosophy are considered.</p>","HSHM414",NA,NA,NA,NA,NA,NA,NA,NA,"greek medicine healing practices fifth bce ce central concepts methods scientific clinical practice magic temple philosophy"
"259","CLCV319","The Olympic Games, Ancient and Modern","<p>Introduction to the history of the Olympic Games from antiquity to the present. The mythology of athletic events in ancient Greece and the ritual, political, and social ramifications of the actual competitions. The revival of the modern Olympic movement in 1896, the political investment of the Greek state at the time, and specific games as they illustrate the convergence of athletic cultures and sociopolitical transformations in the twentieth century.</p>","WGSS293","HIST242J","MGRK300",NA,NA,NA,NA,NA,NA,"olympic present mythology athletic events greece political social ramifications actual competitions revival modern movement 1896 investment greek state time illustrate convergence cultures sociopolitical"
"260","CLCV420","The Central Books of Aristotle's Metaphysics","<p>Examination of Aristotle’s <em>Metaphysics. </em>Discussion of substance and essence in the central books,&#160;Z, H, and Θ and assessment of recent attempts to interpret his account. &#160;</p>","PHIL407",NA,NA,NA,NA,NA,NA,NA,NA,"aristotles metaphysics discussion substance essence central θ recent interpret account books z "
"262","CLCV216","Dionysus in Modernity","<p>Modernity's fascination with the myth of Dionysus. Questions of agency, identity and community, and psychological integrity and the modern constitution of the self. Manifestations of Dionysus in literature, anthropology, and music; the Apollonian-Dionysiac dichotomy; twentieth-century variations of these themes in psychoanalysis, surrealism, and magical realism.</p>
","LITR239","WGSS209","MGRK216",NA,NA,NA,NA,NA,NA,"modernitys fascination myth dionysus agency identity psychological integrity modern constitution self manifestations anthropology apolloniandionysiac dichotomy twentiethcentury variations themes surrealism realism"
"263","CLSS402","Advanced Latin Paleography","<p>The challenges of using hand-produced Latin manuscripts in research, with an emphasis on texts from the late Middle Ages. Gothic cursive scripts and bookhands c. 1200–c. 1500; fragments of unidentified codices; complex or composite codices with heavy interlinear and marginal annotations. Manuscripts and fragments selected largely from collections in the Beinecke Library.</p>
","CLSS602","MDVL563",NA,NA,NA,NA,NA,NA,NA,"challenges using handproduced latin manuscripts emphasis texts late gothic cursive scripts bookhands 1200c fragments unidentified codices complex composite heavy interlinear marginal annotations largely beinecke"
"264","CLSS405","Greek Papyrology","<p>Literary and documentary papyri of Greek and Roman Egypt, concentrating on documents housed in the Beinecke Library from the late Ptolemaic and Roman periods. Topics include using papyri as sources for social and other histories; gaining familiarity with the language of the papyri; and the reading of literary and documentary hands.</p>
","CLSS605",NA,NA,NA,NA,NA,NA,NA,NA,"literary documentary papyri greek egypt concentrating documents housed beinecke late ptolemaic periods topics using sources social histories gaining familiarity language"
"268","CPSC112","Introduction to Programming","<p>Development on the computer of programming skills, problem-solving methods, and selected applications.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"computer programming problemsolving methods applications"
"269","CPSC184","Intellectual Property in the Digital Age","<p>The evolving and oftentimes vexing intellectual property regime of the new digital age. Focus on copyright, fair use, remix culture, access to knowledge, technological&#160;innovations, the increasing relevance of trademarks in the new information society, the tension&#160;between creativity/creating and the intellectual property rules which either foster or inhibit it,&#160;and the new information culture of the digital age.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"evolving oftentimes vexing property regime digital focus copyright fair use remix culture access increasing relevance trademarks information society creativitycreating rules foster inhibit innovations tension"
"270","CPSC185","Control, Privacy, and Technology","<p>The evolution of various legal doctrines with and around technological development. Topics include criminal law, privacy, search and seizure, digital rights, and the implications of technologically permitted methods of control on the law. Special attention to case law and policy.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"evolution legal doctrines topics criminal privacy search seizure digital implications technologically permitted methods control special policy"
"271","CPSC200","Introduction to Information Systems","<p>The real-world artifacts and implementations that comprise the vital computational organisms that populate our world. Hardware and software and the related issues of security, privacy, regulation, and software engineering. Examples stress practical applications of technology, as well as limitations and societal issues.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"realworld artifacts implementations comprise vital organisms populate world hardware software related security privacy engineering stress applications technology well limitations societal"
"272","CPSC201","Introduction to Computer Science","<p>Introduction to the concepts, techniques, and applications of computer science. Topics include computer systems (the design of computers and their languages); theoretical foundations of computing (computability, complexity, algorithm design); and artificial intelligence (the organization of knowledge and its representation for efficient search). Examples stress the importance of different problem-solving methods.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"concepts techniques applications computer topics systems design computers languages theoretical foundations computing computability algorithm artificial intelligence efficient search stress problemsolving methods"
"273","CPSC213","Apps, Software, and Entrepreneurship","<p>Programming, software development, management, and entrepreneurship techniques used to build successful software start-ups.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"programming software entrepreneurship techniques used successful startups"
"274","CPSC223","Data Structures and Programming Techniques","<p>Topics include programming in C; data structures (arrays, stacks, queues, lists, trees, heaps, graphs); sorting and searching; storage allocation and management; data abstraction; programming style; testing and debugging; writing efficient programs.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"topics programming data structures arrays stacks queues lists trees heaps graphs sorting searching allocation abstraction style debugging writing efficient"
"276","CPSC365","Design and Analysis of Algorithms","<p>Paradigms for problem solving: divide and conquer, recursion, greedy algorithms, dynamic programming, randomized and probabilistic algorithms. Techniques for analyzing the efficiency of algorithms and designing efficient algorithms and data structures. Algorithms for graph theoretic problems, network flows, and numerical linear algebra. Provides algorithmic background essential to further study of computer science.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"paradigms problem solving divide conquer recursion greedy dynamic programming randomized probabilistic techniques analyzing efficiency designing efficient data structures graph theoretic flows numerical linear algorithmic background essential computer"
"277","CPSC411","The Law and Technology of Cyber Conflict: Practicum","<p>A cross–disciplinary practicum that addresses both technical and legal aspects of cyber conflict. Recent events, including the hacks of Sony and the U.S. Office of Personnel Management, illustrate the need for new thinking about the particular issues raised when cyber attacks originate from state or quasi–state actors. Professors from Yale Law School and the Computer Science Department will oversee intensive student projects on both legal and technical aspects of cyber conflict. Enrollment is limited to ten Yale College students. This is the second half of a yearlong course; the first half is CPSC 410. Students are required to make a yearlong, two term commitment.</p>","CPSC511",NA,NA,NA,NA,NA,NA,NA,NA,"crossdisciplinary practicum addresses technical legal aspects cyber conflict recent events including hacks sony office personnel illustrate need particular raised attacks originate state quasistate actors professors yale computer will oversee student projects enrollment limited ten students yearlong course first cpsc 410 make two term commitment"
"278","CPSC413","Advanced Apps, Software, and Entrepreneurship","<p>Advanced programming, software development, management, and entrepreneurship techniques used to build successful software start-ups.</p>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"programming software entrepreneurship techniques used successful startups"
"279","CPSC421","Compilers and Interpreters","<p>Compiler organization and implementation: lexical analysis, formal syntax specification, parsing techniques, execution environment, storage management, code generation and optimization, procedure linkage and address binding. The effect of language-design decisions on compiler construction.</p>
","CPSC521",NA,NA,NA,NA,NA,NA,NA,NA,"compiler lexical formal syntax specification parsing techniques execution environment code optimization procedure linkage binding effect languagedesign decisions construction"
"280","CPSC423","Principles of Operating Systems","<p>A survey of the underlying principles of modern  operating systems. Topics include process management,  memory management, storage management, protection and  security, distributed systems, and virtual machines. Emphasis on fundamental concepts rather than implementation.</p>
","CPSC523",NA,NA,NA,NA,NA,NA,NA,NA,"modern  operating systems topics memory protection security distributed machines emphasis concepts"
"281","CPSC424","Parallel Programming Techniques","<p>Practical introduction to parallel programming, emphasizing techniques and algorithms suitable for scientific and engineering computations. Aspects of processor and machine architecture. Techniques such as multithreading, message passing, and data parallel computing using graphics processing units. Performance measurement, tuning, and debugging of parallel programs. Parallel file systems and I/O.</p>
","CPSC524",NA,NA,NA,NA,NA,NA,NA,NA,"parallel programming emphasizing techniques and algorithms scientific engineering computations aspects of processor multithreading message passing data computing using graphics processing performance measurement tuning and debugging file systems io"
"282","CPSC440","Numerical Computation","<p>Algorithms for numerical problems in the physical, biological, and social sciences: solution of linear and nonlinear systems of equations, interpolation and approximation of functions, numerical differentiation and integration, optimization.</p>
","CPSC540",NA,NA,NA,NA,NA,NA,NA,NA,"numerical physical biological social sciences linear nonlinear systems interpolation approximation optimization"
"283","CPSC451","The User Interface","<p>The user interface (UI) in the context of modern design, where tech has been a strong and consistent influence from the Bauhaus and U.S. industrial design of the 1920s and 1930s through the IBM-Eames design project of the 1950s to 1970s. The UI in the context of the windows-menus-mouse desktop, as developed by Alan Kay and Xerox in the 1970s and refined by Apple in the early 1980s. Students develop a detailed design and simple implementation for a UI.</p>","CPSC551",NA,NA,NA,NA,NA,NA,NA,NA,"user interface ui context modern design tech consistent bauhaus industrial 1920s 1930s ibmeames 1950s 1970s windowsmenusmouse desktop developed alan kay xerox refined apple students develop"
"284","CPSC468","Computational Complexity","<p>Introduction to the theory of computational complexity. Basic complexity classes, including polynomial time, nondeterministic polynomial time, probabilistic polynomial time, polynomial space, logarithmic space, and nondeterministic logarithmic space. The roles of reductions, completeness, randomness, and interaction in the formal study of computation.</p>
","CPSC568",NA,NA,NA,NA,NA,NA,NA,NA,"classes including polynomial time nondeterministic probabilistic logarithmic reductions completeness randomness interaction formal computation"
"285","CPSC473","Intelligent Robotics Laboratory","<p>Students work in small teams to construct novel research projects using one of a variety of robot architectures. Project topics may include human-robot interaction, adaptive intelligent behavior, active perception, humanoid robotics, and socially assistive robotics.</p>
","CPSC573",NA,NA,NA,NA,NA,NA,NA,NA,"students work small teams construct projects using variety robot architectures topics may humanrobot interaction adaptive intelligent behavior active perception humanoid robotics socially assistive"
"286","CPSC478","Computer Graphics","<p>Introduction to the basic concepts of two- and three-dimensional computer graphics. Topics include affine and projective transformations, clipping and windowing, visual perception, scene modeling and animation, algorithms for visible surface determination, reflection models, illumination algorithms, and color theory.</p>
","CPSC578",NA,NA,NA,NA,NA,NA,NA,NA,"concepts two threedimensional computer graphics topics affine projective clipping windowing perception visible surface reflection models illumination"
"289","CPSC432","Computer Music: Sound Representation and Synthesis","<p>Study of the theoretical and practical fundamentals of computer-generated music, with a focus on low-level sound representation, acoustics and sound synthesis, scales and tuning systems, and programming languages for computer music generation. Theoretical concepts are supplemented with pragmatic issues expressed in a high-level programming language.</p>
","MUSI428",NA,NA,NA,NA,NA,NA,NA,NA,"theoretical fundamentals computergenerated focus lowlevel sound acoustics scales tuning systems programming languages computer concepts pragmatic expressed highlevel language"
"290","CZEC120","Elementary Czech II","<p>Continuation of CZEC 110.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"czec 110"
"291","CZEC140","Advanced Czech","<p>Continuation of CZEC 130. Emphasis on writing skills and spoken literary Czech.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"czec 130 emphasis writing literary czech"
"292","CZEC301","Milan Kundera: The Czech Novelist and French Thinker","<p>Close reading of Kundera's novels, with analysis of his aesthetics and artistic development. Relationships to French, German, and Spanish literatures and to history, philosophy, music, and art. Topics include paradoxes of public and private life, the irrational in erotic behavior, the duality of body and soul, the interplay of imagination and reality, the function of literary metaphor, and the art of composition.</p>
","RSEE300","LITR220",NA,NA,NA,NA,NA,NA,NA,"kunderas novels artistic french german philosophy topics paradoxes public life irrational erotic behavior duality soul interplay reality function literary metaphor composition"
"293","DRST002","Directed Studies: Literature","<p>An examination of major literary works with an aim of understanding how a tradition develops. In the fall term, works and authors include Homer, Aeschylus, Sophocles, Virgil, the Bible, and Dante. In the spring term, authors vary somewhat from year to year and include Petrarch, Cervantes, Shakespeare, Milton, Wordsworth, Goethe, Tolstoy, Proust, and Eliot.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"literary works aim tradition develops term authors homer aeschylus sophocles virgil dante spring somewhat year petrarch cervantes shakespeare milton wordsworth goethe tolstoy eliot"
"294","DRST004","Directed Studies: Philosophy","<p>An examination of major figures in the history of Western philosophy with an aim of discerning characteristic philosophical problems and their interconnections. Emphasis on Plato and Aristotle in the fall term. In the spring term, modern philosophers include Descartes, Berkeley, Hume, Kant, and Nietzsche.</p>
",NA,NA,NA,NA,NA,NA,NA,NA,NA,"figures western philosophy aim discerning characteristic interconnections emphasis plato aristotle term spring modern philosophers descartes berkeley hume kant"
